LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5524705040555624
Amygdala;DICE;STD;0.047522751678150545
Amygdala;HDRFDST;MEAN;12.367096115310867
Amygdala;HDRFDST;STD;1.3247390968273294
GreyMatter;DICE;MEAN;0.7254111706108969
GreyMatter;DICE;STD;0.008392572026231457
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5438557468632748
Hippocampus;DICE;STD;0.020747421710809778
Hippocampus;HDRFDST;MEAN;13.404743997859157
Hippocampus;HDRFDST;STD;1.0063987042216207
Thalamus;DICE;MEAN;0.7539619599493571
Thalamus;DICE;STD;0.02815693899003272
Thalamus;HDRFDST;MEAN;13.349550027089128
Thalamus;HDRFDST;STD;1.639973802914151
WhiteMatter;DICE;MEAN;0.8260386577411186
WhiteMatter;DICE;STD;0.018945695409229357
WhiteMatter;HDRFDST;MEAN;2.695741732923815
WhiteMatter;HDRFDST;STD;0.36465944300526076
