LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5476192099956156
Amygdala;DICE;STD;0.05049905503488574
Amygdala;HDRFDST;MEAN;12.638679790429894
Amygdala;HDRFDST;STD;1.4013469074354872
GreyMatter;DICE;MEAN;0.7272710047430868
GreyMatter;DICE;STD;0.008582159210527797
GreyMatter;HDRFDST;MEAN;2.0685557720282968
GreyMatter;HDRFDST;STD;0.14517926163339265
Hippocampus;DICE;MEAN;0.5555305801921542
Hippocampus;DICE;STD;0.020160549943207307
Hippocampus;HDRFDST;MEAN;13.443993730201791
Hippocampus;HDRFDST;STD;0.9793020893957861
Thalamus;DICE;MEAN;0.7592472275543434
Thalamus;DICE;STD;0.027340729795870503
Thalamus;HDRFDST;MEAN;14.740421690036243
Thalamus;HDRFDST;STD;1.1916242696039268
WhiteMatter;DICE;MEAN;0.8246025107369258
WhiteMatter;DICE;STD;0.019045574063965995
WhiteMatter;HDRFDST;MEAN;2.8297325123234525
WhiteMatter;HDRFDST;STD;0.3043253336474005
