LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5639059952234405
Amygdala;DICE;STD;0.04753997826644163
Amygdala;HDRFDST;MEAN;12.887939453008741
Amygdala;HDRFDST;STD;1.09590905442958
GreyMatter;DICE;MEAN;0.7217513622042973
GreyMatter;DICE;STD;0.009110144383475224
GreyMatter;HDRFDST;MEAN;2.244948974278318
GreyMatter;HDRFDST;STD;0.40025504729700634
Hippocampus;DICE;MEAN;0.5371104032544556
Hippocampus;DICE;STD;0.019205990253236188
Hippocampus;HDRFDST;MEAN;16.167513290919622
Hippocampus;HDRFDST;STD;1.9777547845820884
Thalamus;DICE;MEAN;0.7512514896319685
Thalamus;DICE;STD;0.029156359541830493
Thalamus;HDRFDST;MEAN;15.773931996490592
Thalamus;HDRFDST;STD;0.8264801087081821
WhiteMatter;DICE;MEAN;0.8220809789525342
WhiteMatter;DICE;STD;0.018832864597684733
WhiteMatter;HDRFDST;MEAN;3.0635781808738884
WhiteMatter;HDRFDST;STD;0.33836183247144663
