LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5557596604796864
Amygdala;DICE;STD;0.047800428525938056
Amygdala;HDRFDST;MEAN;12.449170793846188
Amygdala;HDRFDST;STD;1.3483866454570974
GreyMatter;DICE;MEAN;0.7260256277798175
GreyMatter;DICE;STD;0.008430335062497903
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5399251407899297
Hippocampus;DICE;STD;0.020346434762181856
Hippocampus;HDRFDST;MEAN;13.674949406688572
Hippocampus;HDRFDST;STD;0.8920530951170196
Thalamus;DICE;MEAN;0.7557150509430012
Thalamus;DICE;STD;0.028679940194080156
Thalamus;HDRFDST;MEAN;14.824769750093935
Thalamus;HDRFDST;STD;1.1942369349085356
WhiteMatter;DICE;MEAN;0.8251560573697448
WhiteMatter;DICE;STD;0.018888284468741905
WhiteMatter;HDRFDST;MEAN;2.8297325123234525
WhiteMatter;HDRFDST;STD;0.3043253336474005
