LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.659920643346465
GreyMatter;DICE;STD;0.008336313218026414
GreyMatter;HDRFDST;MEAN;6.501087761919715
GreyMatter;HDRFDST;STD;0.7974069925814075
Hippocampus;DICE;MEAN;0.15270942314271635
Hippocampus;DICE;STD;0.007559071874791415
Hippocampus;HDRFDST;MEAN;33.88547337927462
Hippocampus;HDRFDST;STD;1.214369738782598
Thalamus;DICE;MEAN;0.2292923978873247
Thalamus;DICE;STD;0.013195070641741103
Thalamus;HDRFDST;MEAN;43.10911915932873
Thalamus;HDRFDST;STD;1.141860458548675
WhiteMatter;DICE;MEAN;0.7991274544410084
WhiteMatter;DICE;STD;0.0188440136914246
WhiteMatter;HDRFDST;MEAN;9.305989022458075
WhiteMatter;HDRFDST;STD;0.313955910741862
